samplename,key,value
20171218T0103-KUM-Otomi-Surface,samp_name,20171218T0103-KUM-Otomi-Surface
20171218T0103-KUM-Otomi-Surface,project_name,ANEMONE 2019KibanS
20171218T0103-KUM-Otomi-Surface,correspondence,Reiji Masuda
20171218T0103-KUM-Otomi-Surface,worldmesh,20533524
20171218T0103-KUM-Otomi-Surface,lat_lon,35.54166667 135.56250000
20171218T0103-KUM-Otomi-Surface,samp_taxon_id,metagenome
20171218T0103-KUM-Otomi-Surface,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20171218T0103-KUM-Otomi-Surface,collection_date,2017-12-18T10:03:00+09:00
20171218T0103-KUM-Otomi-Surface,collection_date_local,2017-12-18T10:03:00+09:00
20171218T0103-KUM-Otomi-Surface,collection_date_utc,2017-12-18T01:03:00Z
20171218T0103-KUM-Otomi-Surface,samp_size,1000
20171218T0103-KUM-Otomi-Surface,size_frac_low,0.45
20171218T0103-KUM-Otomi-Surface,num_filter,1
20171218T0103-KUM-Otomi-Surface,filter_prod_name,Sterivex-HV
20171218T0103-KUM-Otomi-Surface,samp_store_temp,-20
20171218T0103-KUM-Otomi-Surface,samp_store_sol,RNAlater
20171218T0240-KUM-Otomi-Bottom,samp_name,20171218T0240-KUM-Otomi-Bottom
20171218T0240-KUM-Otomi-Bottom,project_name,ANEMONE 2019KibanS
20171218T0240-KUM-Otomi-Bottom,correspondence,Reiji Masuda
20171218T0240-KUM-Otomi-Bottom,worldmesh,20533524
20171218T0240-KUM-Otomi-Bottom,lat_lon,35.54166667 135.56250000
20171218T0240-KUM-Otomi-Bottom,samp_taxon_id,metagenome
20171218T0240-KUM-Otomi-Bottom,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20171218T0240-KUM-Otomi-Bottom,collection_date,2017-12-18T11:40:00+09:00
20171218T0240-KUM-Otomi-Bottom,collection_date_local,2017-12-18T11:40:00+09:00
20171218T0240-KUM-Otomi-Bottom,collection_date_utc,2017-12-18T02:40:00Z
20171218T0240-KUM-Otomi-Bottom,samp_size,1000
20171218T0240-KUM-Otomi-Bottom,size_frac_low,0.45
20171218T0240-KUM-Otomi-Bottom,num_filter,1
20171218T0240-KUM-Otomi-Bottom,filter_prod_name,Sterivex-HV
20171218T0240-KUM-Otomi-Bottom,samp_store_temp,-20
20171218T0240-KUM-Otomi-Bottom,samp_store_sol,RNAlater
20180123T0030-KUM-Otomi-Surface,samp_name,20180123T0030-KUM-Otomi-Surface
20180123T0030-KUM-Otomi-Surface,project_name,ANEMONE 2019KibanS
20180123T0030-KUM-Otomi-Surface,correspondence,Reiji Masuda
20180123T0030-KUM-Otomi-Surface,worldmesh,20533524
20180123T0030-KUM-Otomi-Surface,lat_lon,35.54166667 135.56250000
20180123T0030-KUM-Otomi-Surface,samp_taxon_id,metagenome
20180123T0030-KUM-Otomi-Surface,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20180123T0030-KUM-Otomi-Surface,collection_date,2018-01-23T9:30:00+09:00
20180123T0030-KUM-Otomi-Surface,collection_date_local,2018-01-23T9:30:00+09:00
20180123T0030-KUM-Otomi-Surface,collection_date_utc,2018-01-23T00:30:00Z
20180123T0030-KUM-Otomi-Surface,samp_size,1000
20180123T0030-KUM-Otomi-Surface,size_frac_low,0.45
20180123T0030-KUM-Otomi-Surface,num_filter,1
20180123T0030-KUM-Otomi-Surface,filter_prod_name,Sterivex-HV
20180123T0030-KUM-Otomi-Surface,samp_store_temp,-20
20180123T0030-KUM-Otomi-Surface,samp_store_sol,RNAlater
20180123T0135-KUM-Otomi-Bottom,samp_name,20180123T0135-KUM-Otomi-Bottom
20180123T0135-KUM-Otomi-Bottom,project_name,ANEMONE 2019KibanS
20180123T0135-KUM-Otomi-Bottom,correspondence,Reiji Masuda
20180123T0135-KUM-Otomi-Bottom,worldmesh,20533524
