samplename,lat,lon,year,month,date
20171218T0103-KUM-Otomi-Surface,35.54166667,135.5625,2017,12,2017-12-18
20171218T0240-KUM-Otomi-Bottom,35.54166667,135.5625,2017,12,2017-12-18
20180123T0030-KUM-Otomi-Surface,35.54166667,135.5625,2018,1,2018-01-23
20180123T0135-KUM-Otomi-Bottom,35.54166667,135.5625,2018,1,2018-01-23
20180314T0045-KUM-Otomi-Surface,35.54166667,135.5625,2018,3,2018-03-14
20180314T0200-KUM-Otomi-Bottom,35.54166667,135.5625,2018,3,2018-03-14
20180427T0040-KUM-Otomi-Surface,35.54166667,135.5625,2018,4,2018-04-27
20180427T0205-KUM-Otomi-Bottom,35.54166667,135.5625,2018,4,2018-04-27
20180902T0105-KUM-Otomi-Surface,35.54166667,135.5625,2018,9,2018-09-02
20180902T0220-KUM-Otomi-Bottom,35.54166667,135.5625,2018,9,2018-09-02
20190204T0115-KUM-Nagahama,35.45833333,135.3125,2019,2,2019-02-04
20190207T0100-KUM-Nagahama,35.45833333,135.3125,2019,2,2019-02-07
20190215T0013-HUF-Nanaehama,41.79166667,140.6875,2019,2,2019-02-15
20190215T0455-HUF-MutsuSekine,41.375,141.1875,2019,2,2019-02-15
20190301T0020-HUF-Nanaehama,41.79166667,140.6875,2019,3,2019-03-01
20190315T0025-HUF-Nanaehama,41.79166667,140.6875,2019,3,2019-03-15
20190315T0155-HUF-MutsuSekine,41.375,141.1875,2019,3,2019-03-15
20190322T0048-HUF-Nanaehama,41.79166667,140.6875,2019,3,2019-03-22
20190329T0036-HUF-Nanaehama,41.79166667,140.6875,2019,3,2019-03-29
20190406T0130-KUM-Nagahama,35.45833333,135.3125,2019,4,2019-04-06
20190411T0410-HUF-MutsuSekine,41.375,141.1875,2019,4,2019-04-11
20190417T0115-KUM-Nagahama,35.45833333,135.3125,2019,4,2019-04-17
20190422T0112-HUF-Nanaehama,41.79166667,140.6875,2019,4,2019-04-22
20190423T0120-KUM-Nagahama,35.45833333,135.3125,2019,4,2019-04-23
20190515T0140-KUM-Nagahama,35.45833333,135.3125,2019,5,2019-05-15
20190515T0415-HUF-MutsuSekine,41.375,141.1875,2019,5,2019-05-15
20190520T0047-HUF-Nanaehama,41.79166667,140.6875,2019,5,2019-05-20
20190521T0140-KUM-Nagahama,35.45833333,135.3125,2019,5,2019-05-21
20190528T0140-KUM-Nagahama,35.45833333,135.3125,2019,5,2019-05-28
20190618T0440-HUF-MutsuSekine,41.375,141.1875,2019,6,2019-06-18
20190624T0212-HUF-Nanaehama,41.79166667,140.6875,2019,6,2019-06-24
20190625T0120-KUM-Nagahama,35.45833333,135.3125,2019,6,2019-06-25
20190705T0140-KUM-Nagahama,35.45833333,135.3125,2019,7,2019-07-05
20190716T0110-KUM-Nagahama,35.45833333,135.3125,2019,7,2019-07-16
20190717T0445-HUF-MutsuSekine,41.375,141.1875,2019,7,2019-07-17
