survey,run,sample
2019KibanS,2019KibanSRUN01,20171218T0103-KUM-Otomi-Surface
2019KibanS,2019KibanSRUN01,20171218T0240-KUM-Otomi-Bottom
2019KibanS,2019KibanSRUN01,20180123T0030-KUM-Otomi-Surface
2019KibanS,2019KibanSRUN01,20180123T0135-KUM-Otomi-Bottom
2019KibanS,2019KibanSRUN01,20180314T0045-KUM-Otomi-Surface
2019KibanS,2019KibanSRUN01,20180314T0200-KUM-Otomi-Bottom
2019KibanS,2019KibanSRUN01,20180427T0040-KUM-Otomi-Surface
2019KibanS,2019KibanSRUN01,20180427T0205-KUM-Otomi-Bottom
2019KibanS,2019KibanSRUN01,20180902T0105-KUM-Otomi-Surface
2019KibanS,2019KibanSRUN01,20180902T0220-KUM-Otomi-Bottom
2019KibanS,2019KibanSRUN01,20180902T0220-KUM-Otomi-NC
2019KibanS,2019KibanSRUN01,20190204T0115-KUM-Nagahama
2019KibanS,2019KibanSRUN01,20190207T0100-KUM-Nagahama
2019KibanS,2019KibanSRUN01,20190215T0013-HUF-Nanaehama
2019KibanS,2019KibanSRUN01,20190215T0013-HUF-Nanaehama-NC
2019KibanS,2019KibanSRUN01,20190215T0455-HUF-MutsuSekine
2019KibanS,2019KibanSRUN01,20190215T0455-HUF-MutsuSekine-NC
2019KibanS,2019KibanSRUN01,20190301T0020-HUF-Nanaehama
2019KibanS,2019KibanSRUN01,20190301T0020-HUF-Nanaehama-NC
2019KibanS,2019KibanSRUN01,20190315T0025-HUF-Nanaehama
2019KibanS,2019KibanSRUN01,20190315T0025-HUF-Nanaehama-NC
2019KibanS,2019KibanSRUN01,20190315T0155-HUF-MutsuSekine
2019KibanS,2019KibanSRUN01,20190315T0155-HUF-MutsuSekine-NC
2019KibanS,2019KibanSRUN01,20190322T0048-HUF-Nanaehama
2019KibanS,2019KibanSRUN01,20190329T0036-HUF-Nanaehama
2019KibanS,2019KibanSRUN01,20190329T0036-HUF-Nanaehama-NC
2019KibanS,2019KibanSRUN01,20190406T0130-KUM-Nagahama
2019KibanS,2019KibanSRUN01,20190411T0410-HUF-MutsuSekine
2019KibanS,2019KibanSRUN01,20190411T0410-HUF-MutsuSekine-NC
2019KibanS,2019KibanSRUN01,20190417T0115-KUM-Nagahama
